PenaltyID | DriverID | PlateNumber | PenaltyDate | PenaltyLevel | Description
482419 | 29470695 | 30G518-81 | 2023-06-20 | High | Illegal parking
845631 | 40131870 | 56F689-51 | 2025-02-21 | Medium | No seatbelt
263843 | 80180093 | 94G454-91 | 2022-09-27 | High | Illegal parking
775906 | 84608916 | 49C419-11 | 2022-10-07 | Medium | Running red light
824091 | 40246972 | 52D965-44 | 2025-01-16 | Medium | Phone use while driving
584429 | 65354353 | 91E213-91 | 2023-03-26 | Low | Running red light
128119 | 59335308 | 48F334-44 | 2022-08-24 | High | Running red light
731793 | 51116127 | 34G653-61 | 2022-06-25 | High | Illegal parking
324389 | 75463635 | 75H189-91 | 2024-07-14 | High | Illegal parking
331291 | 50812890 | 30G518-81 | 2025-02-13 | High | Phone use while driving
459621 | 92884883 | 96H646-31 | 2023-09-28 | Low | Running red light
938895 | 83618126 | 77A681-71 | 2023-10-28 | Low | Phone use while driving
988628 | 51061089 | 74E486-22 | 2022-09-22 | High | Illegal parking
641848 | 29470695 | 94G454-91 | 2023-10-19 | Low | Speeding
467805 | 17952971 | 77A681-71 | 2025-02-17 | Low | Running red light
626974 | 24545253 | 28A544-22 | 2023-05-17 | High | Illegal parking
747946 | 51061089 | 69D998-11 | 2023-10-28 | Medium | No seatbelt
718686 | 83755044 | 33C696-61 | 2022-06-11 | Medium | Illegal parking
190997 | 59335308 | 67F376-71 | 2024-12-05 | High | Speeding
178099 | 62517336 | 33C696-61 | 2024-11-19 | Medium | No seatbelt
288734 | 57558533 | 61F565-91 | 2025-01-12 | Medium | No seatbelt
906683 | 92884883 | 69E135-61 | 2023-11-16 | Medium | Phone use while driving
525928 | 88734936 | 89C692-61 | 2024-11-19 | High | Running red light
946902 | 41296223 | 21C133-81 | 2025-03-24 | High | Illegal parking
162619 | 42455110 | 61G903-31 | 2023-07-22 | Medium | Running red light
428770 | 40246972 | 28G206-44 | 2024-10-12 | High | No seatbelt
199017 | 27414481 | 75D715-44 | 2023-09-11 | High | Speeding
808208 | 72974378 | 39D628-71 | 2023-09-14 | Medium | Illegal parking
546082 | 92871336 | 49C419-11 | 2022-06-06 | Medium | Speeding
570174 | 84608916 | 69E135-61 | 2025-02-22 | Medium | Illegal parking
173515 | 24545253 | 52D965-44 | 2023-08-25 | Medium | Speeding
374530 | 95471807 | 14E120-51 | 2022-12-16 | High | Running red light
523640 | 47065169 | 52A281-71 | 2023-02-23 | Low | Phone use while driving
255701 | 24545253 | 18E813-61 | 2023-08-22 | Low | Illegal parking
205218 | 59335308 | 34G653-61 | 2022-07-30 | Low | No seatbelt
433305 | 83755044 | 18E813-61 | 2024-05-04 | High | Illegal parking
611612 | 70663263 | 21C133-81 | 2022-09-28 | Low | Speeding
326230 | 65354353 | 96H646-31 | 2022-07-17 | Low | Illegal parking
101183 | 45616749 | 56F689-51 | 2024-09-09 | High | Running red light
701420 | 30121234 | 42D902-81 | 2023-06-27 | Low | Running red light
211303 | 66684445 | 14E120-51 | 2024-10-24 | Medium | Phone use while driving
661832 | 83755044 | 75H189-91 | 2023-03-24 | Medium | Phone use while driving
207827 | 51061089 | 82D524-61 | 2024-01-04 | Medium | Speeding
533551 | 45616749 | 94G454-91 | 2023-10-08 | High | Running red light
160660 | 40131870 | 41A279-44 | 2022-12-05 | Low | Running red light
598362 | 57558533 | 21A763-71 | 2022-06-19 | Low | Phone use while driving
107846 | 27414481 | 70A554-81 | 2024-01-16 | High | Speeding
572128 | 52173990 | 96H646-31 | 2024-06-18 | Medium | Speeding
656104 | 51061089 | 21A763-71 | 2024-07-21 | Medium | Illegal parking
527132 | 57558533 | 96H646-31 | 2024-08-05 | Medium | Illegal parking
334333 | 59335308 | 34G653-61 | 2022-12-17 | Medium | Illegal parking
951768 | 33528270 | 75D715-44 | 2023-03-15 | Medium | Running red light
919159 | 85627074 | 98B633-44 | 2024-02-14 | Medium | Phone use while driving
942369 | 42455110 | 83A741-91 | 2023-11-24 | High | Running red light
657710 | 29470695 | 61F565-91 | 2024-06-15 | Low | Running red light
984041 | 20443453 | 34G653-61 | 2024-03-31 | Low | Running red light
